name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_0.627707_-30.6654_KIDS_1.2_-30.2,0.627707,-30.6654,5.95,24.32,7.4,2.88,A
galaxy_0.726513_-33.999_KIDS_1.2_-34.1,0.726513,-33.999,5.92,25.01,7.71,2.56,A
galaxy_1.899134_-32.168_KIDS_2.4_-32.1,1.899134,-32.168,4.6,24.87,8.38,2.56,A
galaxy_2.142476_-33.8264_KIDS_2.4_-34.1,2.142476,-33.8264,3.89,25.02,8.71,1.6,A
galaxy_2.162882_-33.8838_KIDS_2.4_-34.1,2.162882,-33.8838,5.89,25,9.57,1.13,A
galaxy_7.761782_-33.2707_KIDS_8.3_-33.1,7.761782,-33.2707,15.46,23.93,10,0,A
galaxy_7.980486_-33.2661_KIDS_8.3_-33.1,7.980486,-33.2661,14.35,24.53,10,0,A
galaxy_8.242036_-32.764_KIDS_8.3_-33.1,8.242036,-32.764,9.62,25.28,9.14,1.46,A
galaxy_8.404569_-32.3808_KIDS_8.2_-32.1,8.404569,-32.3808,6.69,24.12,9.4,1.34,A
galaxy_8.779283_-28.0503_KIDS_9.0_-28.2,8.779283,-28.0503,15.33,25.66,10,0,A
galaxy_10.549599_-31.6502_KIDS_10.5_-31.2,10.549599,-31.6502,11.84,24.6,7.4,2.88,A
galaxy_11.680739_-31.5162_KIDS_11.7_-31.2,11.680739,-31.5162,6.73,25.39,9.57,1.13,A
galaxy_14.161699_-31.786_KIDS_14.1_-32.1,14.161699,-31.786,10.73,24.58,8.8,1.64,A
galaxy_15.9952_-28.5139_KIDS_15.8_-28.2,15.9952,-28.5139,7.06,24.28,8.2,1.64,A
galaxy_18.562234_-32.4841_KIDS_18.8_-32.1,18.562234,-32.4841,5.24,24.63,9.4,1.34,A
galaxy_18.600681_-32.462_KIDS_18.8_-32.1,18.600681,-32.462,5.63,25.78,9.57,1.13,A
galaxy_18.603041_-32.6282_KIDS_19.0_-33.1,18.603041,-32.6282,6.12,24.82,9.4,1.34,A
galaxy_18.639711_-32.1925_KIDS_18.8_-32.1,18.639711,-32.1925,4.88,24.99,7.14,3.13,A
galaxy_18.671723_-32.2038_KIDS_18.8_-32.1,18.671723,-32.2038,9.65,24.26,10,0,A
galaxy_19.011245_-31.7601_KIDS_18.8_-32.1,19.011245,-31.7601,4.96,24.57,8.12,1.55,A
galaxy_19.213181_-33.0282_KIDS_19.0_-33.1,19.213181,-33.0282,4.79,24.59,9.4,1.34,A
galaxy_19.496324_-32.769_KIDS_19.0_-33.1,19.496324,-32.769,5.97,24.61,9.14,1.46,A
galaxy_19.830581_-33.0867_KIDS_20.2_-33.1,19.830581,-33.0867,5.4,25.01,9.14,1.46,A
galaxy_20.117843_-31.4713_KIDS_19.8_-31.2,20.117843,-31.4713,8.23,25.92,9.57,1.13,A
galaxy_20.266866_-33.157_KIDS_20.2_-33.1,20.266866,-33.157,9.1,24.25,8.5,1.73,A
galaxy_20.266878_-34.1224_KIDS_20.4_-34.1,20.266878,-34.1224,7.15,24.61,8.14,2.67,A
galaxy_20.965719_-33.845_KIDS_20.4_-34.1,20.965719,-33.845,5.96,25.87,9.57,1.13,A
galaxy_21.730976_-29.9589_KIDS_21.9_-30.2,21.730976,-29.9589,6.87,24.58,8.8,1.64,A
galaxy_22.140015_-34.0054_KIDS_21.6_-34.1,22.140015,-34.0054,5.37,24.95,8.71,1.6,A
galaxy_22.245648_-35.5488_KIDS_21.9_-35.1,22.245648,-35.5488,4.79,26.05,8.29,1.6,A
galaxy_22.983758_-29.3476_KIDS_22.8_-29.2,22.983758,-29.3476,7.94,24.12,10,0,A
galaxy_23.442437_-29.69_KIDS_23.9_-29.2,23.442437,-29.69,12.32,24.28,10,0,A
galaxy_23.71438_-29.171_KIDS_23.9_-29.2,23.71438,-29.171,7.04,24.52,9.14,1.46,A
galaxy_24.314004_-33.7899_KIDS_24.0_-34.1,24.314004,-33.7899,7.6,24.12,7.75,1.5,A
galaxy_35.056478_-34.1478_KIDS_34.8_-34.1,35.056478,-34.1478,6.82,23.84,7.75,1.5,A
galaxy_35.161219_-33.4979_KIDS_35.6_-33.1,35.161219,-33.4979,8.48,24.62,7.4,2.88,A
galaxy_39.352343_-35.4708_KIDS_38.9_-35.1,39.352343,-35.4708,8.21,24.57,10,0,A
galaxy_40.21071_-29.7392_KIDS_40.3_-30.2,40.21071,-29.7392,7.2,24.29,9.5,1.22,A
galaxy_40.825522_-30.0622_KIDS_40.3_-30.2,40.825522,-30.0622,5.68,24.61,9.4,1.34,A
galaxy_40.908388_-29.341_KIDS_41.0_-29.2,40.908388,-29.341,6.46,24.97,9.14,1.46,A
galaxy_41.751992_-30.1687_KIDS_41.4_-30.2,41.751992,-30.1687,6.99,25.26,9.14,1.46,A
galaxy_41.772681_-30.1519_KIDS_41.4_-30.2,41.772681,-30.1519,5.48,25.44,9.14,1.46,A
galaxy_41.861061_-30.3231_KIDS_41.4_-30.2,41.861061,-30.3231,7.75,26.14,9.57,1.13,A
galaxy_41.898092_-30.3289_KIDS_41.4_-30.2,41.898092,-30.3289,5.48,25.59,9.14,1.46,A
galaxy_41.930367_-31.0538_KIDS_41.9_-31.2,41.930367,-31.0538,10.51,25.26,9.57,1.13,A
galaxy_42.156295_-32.3485_KIDS_42.4_-32.1,42.156295,-32.3485,6.19,24.51,9.25,1.5,A
galaxy_42.190966_-31.5262_KIDS_41.9_-31.2,42.190966,-31.5262,5.58,24.9,9.14,1.46,A
galaxy_42.259535_-28.7501_KIDS_42.2_-29.2,42.259535,-28.7501,5.57,24.22,9.4,1.34,A
galaxy_42.950227_-30.1091_KIDS_42.6_-30.2,42.950227,-30.1091,15.8,24.12,9.4,1.34,A
galaxy_43.398515_-30.829_KIDS_43.1_-31.2,43.398515,-30.829,7.31,24.92,8.71,1.6,A
galaxy_44.009899_-30.3122_KIDS_43.7_-30.2,44.009899,-30.3122,5,26.04,8,3.42,A
galaxy_45.898888_-26.4058_KIDS_45.6_-26.2,45.898888,-26.4058,10.89,24.6,9,2.65,A
galaxy_47.303468_-26.1736_KIDS_47.8_-26.2,47.303468,-26.1736,6.36,24.05,8.5,1.73,A
galaxy_47.482882_-26.1134_KIDS_47.8_-26.2,47.482882,-26.1134,9.54,23.9,8.8,1.64,A
galaxy_47.728596_-31.303_KIDS_47.8_-31.2,47.728596,-31.303,5.09,25,7.71,2.56,A
galaxy_48.520129_-31.7995_KIDS_48.2_-32.1,48.520129,-31.7995,9.12,24.83,8.71,1.6,A
galaxy_48.983983_-34.9038_KIDS_48.6_-35.1,48.983983,-34.9038,8.14,25.16,9.57,1.13,A
galaxy_49.521639_-25.8267_KIDS_50.0_-26.2,49.521639,-25.8267,5.45,24.74,8.71,1.6,A
galaxy_49.530226_-34.1687_KIDS_49.2_-34.1,49.530226,-34.1687,4.92,25.58,9.57,1.13,A
galaxy_49.588785_-34.9282_KIDS_49.9_-35.1,49.588785,-34.9282,8.17,24.61,9.4,1.34,A
galaxy_49.69049_-25.8866_KIDS_50.0_-26.2,49.69049,-25.8866,5.56,24.93,9.14,1.46,A
galaxy_50.105457_-33.5711_KIDS_49.9_-33.1,50.105457,-33.5711,9.5,23.9,10,0,A
galaxy_50.411611_-33.4539_KIDS_49.9_-33.1,50.411611,-33.4539,11.11,24.29,10,0,A
galaxy_50.558965_-31.838_KIDS_50.6_-32.1,50.558965,-31.838,8.66,23.99,10,0,A
galaxy_50.70722_-31.4391_KIDS_51.3_-31.2,50.70722,-31.4391,5.42,24.69,9.14,1.46,A
galaxy_50.737327_-31.0413_KIDS_51.3_-31.2,50.737327,-31.0413,6.22,25.03,9.57,1.13,A
galaxy_50.80521_-29.0498_KIDS_51.3_-29.2,50.80521,-29.0498,13.09,24.43,10,0,A
galaxy_50.983415_-34.8084_KIDS_51.1_-35.1,50.983415,-34.8084,5.52,25.23,9.57,1.13,A
galaxy_51.209463_-34.604_KIDS_51.1_-35.1,51.209463,-34.604,7.5,24.87,9.14,1.46,A
galaxy_51.337713_-33.325_KIDS_51.1_-33.1,51.337713,-33.325,6.31,25.36,9.62,1.06,A
galaxy_51.400167_-32.9604_KIDS_51.1_-33.1,51.400167,-32.9604,9.72,24.67,8.8,1.64,A
galaxy_51.442376_-35.5099_KIDS_51.1_-35.1,51.442376,-35.5099,10.59,25.74,9.14,1.46,A
galaxy_51.529183_-31.1884_KIDS_51.3_-31.2,51.529183,-31.1884,7.47,24.55,10,0,A
galaxy_51.560894_-34.5538_KIDS_51.6_-34.1,51.560894,-34.5538,6.21,25.67,9.62,1.06,A
galaxy_51.724875_-35.5178_KIDS_52.3_-35.1,51.724875,-35.5178,16.01,24.79,10,0,A
galaxy_51.726218_-33.9456_KIDS_51.6_-34.1,51.726218,-33.9456,4.91,25.45,9.57,1.13,A
galaxy_51.777514_-31.1072_KIDS_51.3_-31.2,51.777514,-31.1072,6.16,24.48,10,0,A
galaxy_51.783504_-34.4003_KIDS_51.6_-34.1,51.783504,-34.4003,7.19,24.92,10,0,A
galaxy_51.820237_-33.0354_KIDS_52.3_-33.1,51.820237,-33.0354,8.02,24.84,9.57,1.13,A
galaxy_51.837339_-26.0351_KIDS_52.2_-26.2,51.837339,-26.0351,7.29,23.92,10,0,A
galaxy_51.944546_-28.729_KIDS_52.4_-29.2,51.944546,-28.729,6.14,24.3,10,0,A
galaxy_51.963236_-29.1406_KIDS_52.4_-29.2,51.963236,-29.1406,8.74,24.34,10,0,A
galaxy_52.118071_-33.7348_KIDS_51.6_-34.1,52.118071,-33.7348,12.89,24.35,10,0,A
galaxy_52.439325_-35.3784_KIDS_52.3_-35.1,52.439325,-35.3784,7.97,25.66,9.14,1.46,A
galaxy_52.54091_-28.4991_KIDS_53.0_-28.2,52.54091,-28.4991,7.11,25.48,9.14,1.46,A
galaxy_52.653166_-35.0409_KIDS_52.3_-35.1,52.653166,-35.0409,7.61,25.31,8.29,1.6,A
galaxy_52.69413_-35.3542_KIDS_52.3_-35.1,52.69413,-35.3542,10.59,24.39,10,0,A
galaxy_52.801208_-33.2441_KIDS_52.3_-33.1,52.801208,-33.2441,9.6,24.75,10,0,A
galaxy_52.82964_-32.0529_KIDS_52.9_-32.1,52.82964,-32.0529,13.17,24.4,10,0,A
galaxy_52.871551_-32.479_KIDS_52.9_-32.1,52.871551,-32.479,6.77,23.85,9.4,1.34,A
galaxy_52.898033_-32.143_KIDS_52.9_-32.1,52.898033,-32.143,7.22,24.2,10,0,A
galaxy_52.938125_-34.3384_KIDS_52.8_-34.1,52.938125,-34.3384,10.56,24.09,10,0,A
galaxy_52.953746_-35.5826_KIDS_53.5_-35.1,52.953746,-35.5826,5.01,25.46,9.57,1.13,A
galaxy_53.022207_-35.4257_KIDS_53.5_-35.1,53.022207,-35.4257,5.82,24.94,9.4,1.34,A
galaxy_53.107636_-29.8976_KIDS_52.9_-30.2,53.107636,-29.8976,3.62,25.22,9.14,1.46,A
galaxy_53.127616_-29.984_KIDS_52.9_-30.2,53.127616,-29.984,8.45,25,9.14,1.46,A
galaxy_53.216824_-28.094_KIDS_53.0_-28.2,53.216824,-28.094,9.88,24.42,7.29,2.36,A
galaxy_53.264896_-33.7248_KIDS_52.8_-34.1,53.264896,-33.7248,11.09,24.06,10,0,A
galaxy_53.28987_-28.1603_KIDS_53.0_-28.2,53.28987,-28.1603,7.73,24.84,8.71,1.6,A
galaxy_53.379746_-34.4559_KIDS_52.8_-34.1,53.379746,-34.4559,8.66,24.18,10,0,A
galaxy_53.584053_-35.3624_KIDS_53.5_-35.1,53.584053,-35.3624,11.6,24.64,10,0,A
galaxy_53.637993_-32.8341_KIDS_53.5_-33.1,53.637993,-32.8341,7.5,24.53,10,0,A
galaxy_53.73486_-35.1906_KIDS_53.5_-35.1,53.73486,-35.1906,6.92,24.98,8.71,1.6,A
galaxy_53.740105_-35.223_KIDS_53.5_-35.1,53.740105,-35.223,4.67,25.57,9.14,1.46,A
galaxy_53.742319_-35.0429_KIDS_53.5_-35.1,53.742319,-35.0429,8.14,25.27,9.4,1.34,A
galaxy_53.750849_-35.3225_KIDS_53.5_-35.1,53.750849,-35.3225,5.64,25.21,9.25,1.39,A
galaxy_53.772694_-35.2184_KIDS_53.5_-35.1,53.772694,-35.2184,5.55,24.82,9.57,1.13,A
galaxy_53.797989_-35.3231_KIDS_53.5_-35.1,53.797989,-35.3231,4.71,25.15,9.4,1.34,A
galaxy_53.876508_-35.2517_KIDS_53.5_-35.1,53.876508,-35.2517,7.71,25.57,9.14,1.46,A
galaxy_53.891322_-34.805_KIDS_53.5_-35.1,53.891322,-34.805,7.08,24.46,10,0,A
galaxy_53.928086_-35.5142_KIDS_53.5_-35.1,53.928086,-35.5142,15.1,25.35,9.14,1.46,A
galaxy_53.928565_-35.34_KIDS_53.5_-35.1,53.928565,-35.34,10.56,24.41,9.62,1.06,A
galaxy_53.982024_-34.8283_KIDS_53.5_-35.1,53.982024,-34.8283,16.2,25.21,10,0,A
galaxy_53.991167_-35.3478_KIDS_53.5_-35.1,53.991167,-35.3478,3.95,25.03,8.71,1.6,A
galaxy_54.016342_-35.3884_KIDS_53.5_-35.1,54.016342,-35.3884,9.71,24.54,10,0,A
galaxy_128.720703_-1.6737_KIDS_129.0_-1.5,128.720703,-1.6737,5.43,25.56,8.14,2.67,A
galaxy_134.283606_2.932_KIDS_134.4_2.5,134.283606,2.932,5.85,24.19,7.83,2.79,A
galaxy_139.990943_0.8458_KIDS_140.0_0.5,139.990943,0.8458,8.91,24.23,9.4,1.34,A
galaxy_158.798889_-1.2692_KIDS_159.0_-1.5,158.798889,-1.2692,6.03,25.04,7.29,2.36,A
galaxy_159.855389_-0.0846_KIDS_160.0_-0.5,159.855389,-0.0846,6.1,24.07,10,0,A
